id,gender_type,customer_type,travel_type,class_type,satisfaction_level,age,flight_distance,inflight_wifi_service,departure_arrival_time_convenient,ease_of_online_booking,gate_location,food_and_drink,online_boarding,seat_comfort,inflight_entertainment,on_board_service,leg_room_service,baggage_handling,checkin_service,inflight_service,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes
28,Female,Loyal Customer,Business travel,Eco Plus,satisfied,25,315.0,4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8
29,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,25,3347.0,3,1,1,1,1,2,1,3,3,3,3,2,3,2,18,12
31,Female,Loyal Customer,Business travel,Business,satisfied,26,819.0,4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0
33,Female,Loyal Customer,Business travel,Business,satisfied,26,2611.0,4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120
34,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,26,1192.0,4,5,4,1,2,4,5,5,5,4,3,5,5,5,18,24
36,Female,Loyal Customer,Business travel,Eco,neutral or dissatisfied,26,349.0,1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1
39,Female,Loyal Customer,Personal Travel,Eco,satisfied,27,302.0,4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31
44,Female,Loyal Customer,Business travel,Business,satisfied,30,2882.0,3,3,3,3,2,1,4,5,5,5,5,2,5,4,0,0
45,Female,Loyal Customer,Business travel,Business,satisfied,31,460.0,1,1,1,1,3,5,5,3,3,3,3,4,3,5,1,15
47,Female,Loyal Customer,Personal Travel,Business,neutral or dissatisfied,32,349.0,2,4,2,1,4,2,4,4,4,5,4,4,5,4,0,0
48,Female,Loyal Customer,Business travel,Business,neutral or dissatisfied,33,1522.0,1,1,1,1,1,1,1,1,3,5,3,1,4,1,0,0
53,Female,Loyal Customer,Business travel,Eco,satisfied,35,309.0,5,5,5,5,1,2,3,5,5,5,5,4,5,2,0,0
55,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,37,861.0,2,2,2,3,1,3,4,4,4,2,4,4,4,4,10,10
56,Female,Loyal Customer,Business travel,Business,satisfied,38,3334.0,2,4,2,2,4,5,5,4,4,4,4,3,4,5,51,48
57,Female,Loyal Customer,Business travel,Business,satisfied,38,2496.0,0,0,0,1,3,4,5,5,5,5,5,4,5,5,0,5
62,Female,Loyal Customer,Business travel,Business,satisfied,39,3475.0,2,2,2,2,4,4,4,4,4,4,4,4,4,3,0,0
64,Female,Loyal Customer,Business travel,Business,satisfied,39,2501.0,3,3,3,3,5,4,4,5,5,5,5,4,5,4,0,0
65,Female,Loyal Customer,Business travel,Business,satisfied,40,2227.0,5,5,5,5,2,4,4,4,4,4,4,3,4,4,30,15
70,Female,Loyal Customer,Business travel,Eco Plus,satisfied,41,157.0,4,4,4,4,4,4,4,4,3,3,1,1,4,4,0,0
71,Female,Loyal Customer,Business travel,Business,satisfied,41,1506.0,4,4,4,4,3,4,5,5,5,5,5,4,5,5,0,0
87,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,49,500.0,3,5,3,2,3,4,5,5,5,3,5,4,5,5,0,0
94,Female,Loyal Customer,Business travel,Eco Plus,satisfied,52,261.0,5,4,4,4,4,3,1,5,5,5,5,1,5,1,0,0
95,Female,Loyal Customer,Business travel,Eco,satisfied,53,347.0,2,5,5,5,5,2,4,3,3,2,3,3,3,4,0,11
96,Female,Loyal Customer,Business travel,Eco,satisfied,53,1042.0,4,1,1,1,4,4,4,4,4,3,1,5,2,4,35,34
97,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,54,1773.0,4,5,4,5,5,4,5,5,2,2,3,3,1,5,14,18
99,Female,Loyal Customer,Personal Travel,Eco Plus,neutral or dissatisfied,57,297.0,1,5,1,3,5,1,5,5,5,1,1,3,4,5,67,62
101,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,58,332.0,2,5,2,1,3,2,4,3,5,4,5,4,4,3,40,52
103,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,60,748.0,2,5,2,2,5,2,1,5,4,2,4,3,5,5,0,0
106,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,61,551.0,3,4,3,3,4,3,4,4,1,1,4,2,1,4,3,0
108,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,66,265.0,4,3,4,3,5,4,5,5,2,5,2,1,4,5,0,23
110,Female,Loyal Customer,Personal Travel,Eco,neutral or dissatisfied,69,1144.0,3,5,2,2,4,2,4,4,5,4,5,3,5,4,0,0
